Estacion;Fecha inicial;Fecha final;PM10
ZIPAQUIRÁ - EFZ;2024-02-01 00:00;2024-02-01 00:59;35.31
ZIPAQUIRÁ - EFZ;2024-01-31 23:00;2024-01-31 23:59;27.74
ZIPAQUIRÁ - EFZ;2024-01-31 22:00;2024-01-31 22:59;25.05
ZIPAQUIRÁ - EFZ;2024-01-31 21:00;2024-01-31 21:59;28.37
ZIPAQUIRÁ - EFZ;2024-01-31 20:00;2024-01-31 20:59;59.65
ZIPAQUIRÁ - EFZ;2024-01-31 19:00;2024-01-31 19:59;45.77
ZIPAQUIRÁ - EFZ;2024-01-31 18:00;2024-01-31 18:59;39.54
ZIPAQUIRÁ - EFZ;2024-01-31 17:00;2024-01-31 17:59;39.73
ZIPAQUIRÁ - EFZ;2024-01-31 16:00;2024-01-31 16:59;30.38
ZIPAQUIRÁ - EFZ;2024-01-31 15:00;2024-01-31 15:59;25.28
ZIPAQUIRÁ - EFZ;2024-01-31 14:00;2024-01-31 14:59;32.73
ZIPAQUIRÁ - EFZ;2024-01-31 13:00;2024-01-31 13:59;34.02
ZIPAQUIRÁ - EFZ;2024-01-31 12:00;2024-01-31 12:59;41.97
ZIPAQUIRÁ - EFZ;2024-01-31 11:00;2024-01-31 11:59;61.6
ZIPAQUIRÁ - EFZ;2024-01-31 10:00;2024-01-31 10:59;107.03
ZIPAQUIRÁ - EFZ;2024-01-31 09:00;2024-01-31 09:59;107.25
ZIPAQUIRÁ - EFZ;2024-01-31 08:00;2024-01-31 08:59;114.3
ZIPAQUIRÁ - EFZ;2024-01-31 07:00;2024-01-31 07:59;72.43
ZIPAQUIRÁ - EFZ;2024-01-31 06:00;2024-01-31 06:59;70.94
ZIPAQUIRÁ - EFZ;2024-01-31 05:00;2024-01-31 05:59;54.6
ZIPAQUIRÁ - EFZ;2024-01-31 04:00;2024-01-31 04:59;69.34
ZIPAQUIRÁ - EFZ;2024-01-31 03:00;2024-01-31 03:59;47.28
ZIPAQUIRÁ - EFZ;2024-01-31 02:00;2024-01-31 02:59;42.02
ZIPAQUIRÁ - EFZ;2024-01-31 01:00;2024-01-31 01:59;34.26
ZIPAQUIRÁ - EFZ;2024-01-31 00:00;2024-01-31 00:59;33.3
ZIPAQUIRÁ - EFZ;2024-01-30 23:00;2024-01-30 23:59;36.02
ZIPAQUIRÁ - EFZ;2024-01-30 22:00;2024-01-30 22:59;40.33
ZIPAQUIRÁ - EFZ;2024-01-30 21:00;2024-01-30 21:59;35.03
ZIPAQUIRÁ - EFZ;2024-01-30 20:00;2024-01-30 20:59;39.94
ZIPAQUIRÁ - EFZ;2024-01-30 19:00;2024-01-30 19:59;39.36
ZIPAQUIRÁ - EFZ;2024-01-30 18:00;2024-01-30 18:59;57.66
ZIPAQUIRÁ - EFZ;2024-01-30 17:00;2024-01-30 17:59;51.35
ZIPAQUIRÁ - EFZ;2024-01-30 16:00;2024-01-30 16:59;38.01
ZIPAQUIRÁ - EFZ;2024-01-30 15:00;2024-01-30 15:59;80.7
ZIPAQUIRÁ - EFZ;2024-01-30 14:00;2024-01-30 14:59;85.43
ZIPAQUIRÁ - EFZ;2023-12-15 14:00;2023-12-15 14:59;23.84
ZIPAQUIRÁ - EFZ;2023-12-15 13:00;2023-12-15 13:59;30.89
ZIPAQUIRÁ - EFZ;2023-12-15 12:00;2023-12-15 12:59;35.97
ZIPAQUIRÁ - EFZ;2023-12-15 11:00;2023-12-15 11:59;45.66
ZIPAQUIRÁ - EFZ;2023-12-15 10:00;2023-12-15 10:59;45.95
ZIPAQUIRÁ - EFZ;2023-12-15 09:00;2023-12-15 09:59;38.97
ZIPAQUIRÁ - EFZ;2023-12-15 08:00;2023-12-15 08:59;29.82
ZIPAQUIRÁ - EFZ;2023-12-15 07:00;2023-12-15 07:59;24.3
ZIPAQUIRÁ - EFZ;2023-12-15 06:00;2023-12-15 06:59;19.54
ZIPAQUIRÁ - EFZ;2023-12-15 05:00;2023-12-15 05:59;22.79
ZIPAQUIRÁ - EFZ;2023-12-15 04:00;2023-12-15 04:59;20.66
ZIPAQUIRÁ - EFZ;2023-12-15 03:00;2023-12-15 03:59;36.45
ZIPAQUIRÁ - EFZ;2023-12-15 02:00;2023-12-15 02:59;27.47
ZIPAQUIRÁ - EFZ;2023-12-15 01:00;2023-12-15 01:59;24.75
ZIPAQUIRÁ - EFZ;2023-12-15 00:00;2023-12-15 00:59;36.64
ZIPAQUIRÁ - EFZ;2023-12-14 23:00;2023-12-14 23:59;37.49
ZIPAQUIRÁ - EFZ;2023-12-14 22:00;2023-12-14 22:59;47.18
ZIPAQUIRÁ - EFZ;2023-12-14 21:00;2023-12-14 21:59;61.97
ZIPAQUIRÁ - EFZ;2023-12-14 20:00;2023-12-14 20:59;59.35
ZIPAQUIRÁ - EFZ;2023-12-14 19:00;2023-12-14 19:59;47.9
ZIPAQUIRÁ - EFZ;2023-12-14 18:00;2023-12-14 18:59;47.17
ZIPAQUIRÁ - EFZ;2023-12-14 17:00;2023-12-14 17:59;24.54
ZIPAQUIRÁ - EFZ;2023-12-14 16:00;2023-12-14 16:59;20.3
ZIPAQUIRÁ - EFZ;2023-12-14 15:00;2023-12-14 15:59;25.34
ZIPAQUIRÁ - EFZ;2023-12-14 14:00;2023-12-14 14:59;24.64
ZIPAQUIRÁ - EFZ;2023-12-14 13:00;2023-12-14 13:59;24.11
ZIPAQUIRÁ - EFZ;2023-12-14 12:00;2023-12-14 12:59;74.89
ZIPAQUIRÁ - EFZ;2023-12-14 11:00;2023-12-14 11:59;54.37
ZIPAQUIRÁ - EFZ;2023-12-14 10:00;2023-12-14 10:59;60.4
ZIPAQUIRÁ - EFZ;2023-12-14 09:00;2023-12-14 09:59;85.94
ZIPAQUIRÁ - EFZ;2023-12-14 08:00;2023-12-14 08:59;40.39
ZIPAQUIRÁ - EFZ;2023-12-14 07:00;2023-12-14 07:59;48.93
ZIPAQUIRÁ - EFZ;2023-12-14 06:00;2023-12-14 06:59;69.66
ZIPAQUIRÁ - EFZ;2023-12-14 05:00;2023-12-14 05:59;41.69
ZIPAQUIRÁ - EFZ;2023-12-14 04:00;2023-12-14 04:59;43.91
ZIPAQUIRÁ - EFZ;2023-12-14 03:00;2023-12-14 03:59;22.4
ZIPAQUIRÁ - EFZ;2023-12-14 02:00;2023-12-14 02:59;30.17
ZIPAQUIRÁ - EFZ;2023-12-14 01:00;2023-12-14 01:59;25.96
ZIPAQUIRÁ - EFZ;2023-12-14 00:00;2023-12-14 00:59;24.0
ZIPAQUIRÁ - EFZ;2023-12-13 23:00;2023-12-13 23:59;32.57
ZIPAQUIRÁ - EFZ;2023-12-13 22:00;2023-12-13 22:59;28.04
ZIPAQUIRÁ - EFZ;2023-12-13 21:00;2023-12-13 21:59;23.97
ZIPAQUIRÁ - EFZ;2023-12-13 20:00;2023-12-13 20:59;33.81
ZIPAQUIRÁ - EFZ;2023-12-13 19:00;2023-12-13 19:59;39.21
ZIPAQUIRÁ - EFZ;2023-12-13 18:00;2023-12-13 18:59;62.1
ZIPAQUIRÁ - EFZ;2023-12-13 17:00;2023-12-13 17:59;31.97
ZIPAQUIRÁ - EFZ;2023-12-13 16:00;2023-12-13 16:59;55.39
ZIPAQUIRÁ - EFZ;2023-12-13 15:00;2023-12-13 15:59;52.05
ZIPAQUIRÁ - EFZ;2023-12-13 14:00;2023-12-13 14:59;60.77
ZIPAQUIRÁ - EFZ;2023-12-13 13:00;2023-12-13 13:59;26.09
ZIPAQUIRÁ - EFZ;2023-12-13 12:00;2023-12-13 12:59;77.6
ZIPAQUIRÁ - EFZ;2023-12-13 11:00;2023-12-13 11:59;40.26
ZIPAQUIRÁ - EFZ;2023-12-13 09:00;2023-12-13 09:59;113.94
ZIPAQUIRÁ - EFZ;2023-12-13 08:00;2023-12-13 08:59;85.5
ZIPAQUIRÁ - EFZ;2023-12-13 07:00;2023-12-13 07:59;64.94
ZIPAQUIRÁ - EFZ;2023-12-13 06:00;2023-12-13 06:59;80.1
ZIPAQUIRÁ - EFZ;2023-12-13 05:00;2023-12-13 05:59;57.33
ZIPAQUIRÁ - EFZ;2023-12-13 04:00;2023-12-13 04:59;29.36
ZIPAQUIRÁ - EFZ;2023-12-13 03:00;2023-12-13 03:59;35.02
ZIPAQUIRÁ - EFZ;2023-12-13 02:00;2023-12-13 02:59;37.36
ZIPAQUIRÁ - EFZ;2023-12-13 01:00;2023-12-13 01:59;15.52
ZIPAQUIRÁ - EFZ;2023-12-13 00:00;2023-12-13 00:59;19.89
ZIPAQUIRÁ - EFZ;2023-12-12 23:00;2023-12-12 23:59;19.63
ZIPAQUIRÁ - EFZ;2023-12-12 22:00;2023-12-12 22:59;29.41
ZIPAQUIRÁ - EFZ;2023-12-12 21:00;2023-12-12 21:59;53.23
ZIPAQUIRÁ - EFZ;2023-12-12 19:00;2023-12-12 19:59;34.04
ZIPAQUIRÁ - EFZ;2023-12-12 18:00;2023-12-12 18:59;23.05
ZIPAQUIRÁ - EFZ;2023-12-12 17:00;2023-12-12 17:59;18.88
ZIPAQUIRÁ - EFZ;2023-12-12 16:00;2023-12-12 16:59;20.08
ZIPAQUIRÁ - EFZ;2023-12-12 15:00;2023-12-12 15:59;37.24
ZIPAQUIRÁ - EFZ;2023-12-12 14:00;2023-12-12 14:59;120.1
ZIPAQUIRÁ - EFZ;2023-12-12 13:00;2023-12-12 13:59;109.6
ZIPAQUIRÁ - EFZ;2023-12-12 12:00;2023-12-12 12:59;112.25
ZIPAQUIRÁ - EFZ;2023-12-12 11:00;2023-12-12 11:59;86.78
ZIPAQUIRÁ - EFZ;2023-12-12 10:00;2023-12-12 10:59;70.07
ZIPAQUIRÁ - EFZ;2023-12-12 09:00;2023-12-12 09:59;111.72
ZIPAQUIRÁ - EFZ;2023-12-12 08:00;2023-12-12 08:59;132.19
ZIPAQUIRÁ - EFZ;2023-12-12 07:00;2023-12-12 07:59;62.12
ZIPAQUIRÁ - EFZ;2023-12-12 06:00;2023-12-12 06:59;47.63
ZIPAQUIRÁ - EFZ;2023-12-12 05:00;2023-12-12 05:59;56.55
ZIPAQUIRÁ - EFZ;2023-12-12 04:00;2023-12-12 04:59;46.74
ZIPAQUIRÁ - EFZ;2023-12-12 03:00;2023-12-12 03:59;51.57
ZIPAQUIRÁ - EFZ;2023-12-12 02:00;2023-12-12 02:59;43.66
ZIPAQUIRÁ - EFZ;2023-12-12 01:00;2023-12-12 01:59;57.71
ZIPAQUIRÁ - EFZ;2023-12-12 00:00;2023-12-12 00:59;77.06
ZIPAQUIRÁ - EFZ;2023-12-11 23:00;2023-12-11 23:59;59.99
ZIPAQUIRÁ - EFZ;2023-12-11 22:00;2023-12-11 22:59;52.79
ZIPAQUIRÁ - EFZ;2023-12-11 21:00;2023-12-11 21:59;29.35
ZIPAQUIRÁ - EFZ;2023-12-11 20:00;2023-12-11 20:59;26.31
ZIPAQUIRÁ - EFZ;2023-12-11 19:00;2023-12-11 19:59;61.6
ZIPAQUIRÁ - EFZ;2023-12-11 18:00;2023-12-11 18:59;89.53
ZIPAQUIRÁ - EFZ;2023-12-11 17:00;2023-12-11 17:59;37.43
ZIPAQUIRÁ - EFZ;2023-12-11 16:00;2023-12-11 16:59;52.95
ZIPAQUIRÁ - EFZ;2023-12-11 15:00;2023-12-11 15:59;44.32
ZIPAQUIRÁ - EFZ;2023-12-11 14:00;2023-12-11 14:59;23.08
ZIPAQUIRÁ - EFZ;2023-12-11 13:00;2023-12-11 13:59;34.2
ZIPAQUIRÁ - EFZ;2023-12-11 12:00;2023-12-11 12:59;41.63
ZIPAQUIRÁ - EFZ;2023-12-11 10:00;2023-12-11 10:59;16.7
ZIPAQUIRÁ - EFZ;2023-12-11 09:00;2023-12-11 09:59;31.06
ZIPAQUIRÁ - EFZ;2023-12-11 08:00;2023-12-11 08:59;55.49
ZIPAQUIRÁ - EFZ;2023-12-11 07:00;2023-12-11 07:59;38.2
ZIPAQUIRÁ - EFZ;2023-12-11 06:00;2023-12-11 06:59;33.2
ZIPAQUIRÁ - EFZ;2023-12-11 05:00;2023-12-11 05:59;18.56
ZIPAQUIRÁ - EFZ;2023-12-11 04:00;2023-12-11 04:59;18.6
ZIPAQUIRÁ - EFZ;2023-12-11 03:00;2023-12-11 03:59;16.46
ZIPAQUIRÁ - EFZ;2023-12-11 02:00;2023-12-11 02:59;19.0
ZIPAQUIRÁ - EFZ;2023-12-11 01:00;2023-12-11 01:59;16.9
ZIPAQUIRÁ - EFZ;2023-12-11 00:00;2023-12-11 00:59;18.36
ZIPAQUIRÁ - EFZ;2023-12-10 23:00;2023-12-10 23:59;18.38
ZIPAQUIRÁ - EFZ;2023-12-10 22:00;2023-12-10 22:59;11.88
ZIPAQUIRÁ - EFZ;2023-12-10 21:00;2023-12-10 21:59;17.09
ZIPAQUIRÁ - EFZ;2023-12-10 20:00;2023-12-10 20:59;13.57
ZIPAQUIRÁ - EFZ;2023-12-10 19:00;2023-12-10 19:59;11.7
ZIPAQUIRÁ - EFZ;2023-12-10 18:00;2023-12-10 18:59;5.0
ZIPAQUIRÁ - EFZ;2023-12-10 10:00;2023-12-10 10:59;5.88
ZIPAQUIRÁ - EFZ;2023-12-10 04:00;2023-12-10 04:59;8.38
ZIPAQUIRÁ - EFZ;2023-12-10 02:00;2023-12-10 02:59;9.33
ZIPAQUIRÁ - EFZ;2023-12-10 01:00;2023-12-10 01:59;18.1
ZIPAQUIRÁ - EFZ;2023-12-10 00:00;2023-12-10 00:59;18.63
ZIPAQUIRÁ - EFZ;2023-12-09 22:00;2023-12-09 22:59;24.52
ZIPAQUIRÁ - EFZ;2023-12-09 21:00;2023-12-09 21:59;31.55
ZIPAQUIRÁ - EFZ;2023-12-09 20:00;2023-12-09 20:59;20.15
ZIPAQUIRÁ - EFZ;2023-12-09 19:00;2023-12-09 19:59;13.48
ZIPAQUIRÁ - EFZ;2023-12-09 18:00;2023-12-09 18:59;8.39
ZIPAQUIRÁ - EFZ;2023-12-09 17:00;2023-12-09 17:59;5.36
ZIPAQUIRÁ - EFZ;2023-12-09 15:00;2023-12-09 15:59;4.78
ZIPAQUIRÁ - EFZ;2023-12-09 14:00;2023-12-09 14:59;5.88
ZIPAQUIRÁ - EFZ;2023-12-09 13:00;2023-12-09 13:59;12.23
ZIPAQUIRÁ - EFZ;2023-12-09 12:00;2023-12-09 12:59;13.39
ZIPAQUIRÁ - EFZ;2023-12-09 11:00;2023-12-09 11:59;16.36
ZIPAQUIRÁ - EFZ;2023-12-09 10:00;2023-12-09 10:59;13.58
ZIPAQUIRÁ - EFZ;2023-12-09 09:00;2023-12-09 09:59;17.51
ZIPAQUIRÁ - EFZ;2023-12-09 08:00;2023-12-09 08:59;26.11
ZIPAQUIRÁ - EFZ;2023-12-09 07:00;2023-12-09 07:59;25.14
ZIPAQUIRÁ - EFZ;2023-12-09 06:00;2023-12-09 06:59;20.78
ZIPAQUIRÁ - EFZ;2023-12-09 05:00;2023-12-09 05:59;12.19
ZIPAQUIRÁ - EFZ;2023-12-09 03:00;2023-12-09 03:59;12.95
ZIPAQUIRÁ - EFZ;2023-12-09 02:00;2023-12-09 02:59;18.1
ZIPAQUIRÁ - EFZ;2023-12-09 01:00;2023-12-09 01:59;26.5
ZIPAQUIRÁ - EFZ;2023-12-09 00:00;2023-12-09 00:59;39.45
ZIPAQUIRÁ - EFZ;2023-12-08 23:00;2023-12-08 23:59;40.0
ZIPAQUIRÁ - EFZ;2023-12-08 22:00;2023-12-08 22:59;35.35
ZIPAQUIRÁ - EFZ;2023-12-08 21:00;2023-12-08 21:59;34.44
ZIPAQUIRÁ - EFZ;2023-12-08 20:00;2023-12-08 20:59;30.53
ZIPAQUIRÁ - EFZ;2023-12-08 19:00;2023-12-08 19:59;26.61
ZIPAQUIRÁ - EFZ;2023-12-08 18:00;2023-12-08 18:59;15.61
ZIPAQUIRÁ - EFZ;2023-12-08 17:00;2023-12-08 17:59;13.05
ZIPAQUIRÁ - EFZ;2023-12-08 16:00;2023-12-08 16:59;11.79
ZIPAQUIRÁ - EFZ;2023-12-08 15:00;2023-12-08 15:59;9.11
ZIPAQUIRÁ - EFZ;2023-12-08 14:00;2023-12-08 14:59;7.8
ZIPAQUIRÁ - EFZ;2023-12-08 13:00;2023-12-08 13:59;6.22
ZIPAQUIRÁ - EFZ;2023-12-08 12:00;2023-12-08 12:59;6.32
ZIPAQUIRÁ - EFZ;2023-12-08 09:00;2023-12-08 09:59;18.06
ZIPAQUIRÁ - EFZ;2023-12-08 08:00;2023-12-08 08:59;29.61
ZIPAQUIRÁ - EFZ;2023-12-08 05:00;2023-12-08 05:59;45.22
ZIPAQUIRÁ - EFZ;2023-12-08 04:00;2023-12-08 04:59;49.15
ZIPAQUIRÁ - EFZ;2023-12-08 03:00;2023-12-08 03:59;37.06
ZIPAQUIRÁ - EFZ;2023-12-08 02:00;2023-12-08 02:59;30.77
ZIPAQUIRÁ - EFZ;2023-12-08 01:00;2023-12-08 01:59;36.66
ZIPAQUIRÁ - EFZ;2023-12-08 00:00;2023-12-08 00:59;41.93
ZIPAQUIRÁ - EFZ;2023-12-07 23:00;2023-12-07 23:59;51.6
ZIPAQUIRÁ - EFZ;2023-12-07 21:00;2023-12-07 21:59;52.3
ZIPAQUIRÁ - EFZ;2023-12-07 20:00;2023-12-07 20:59;27.81
ZIPAQUIRÁ - EFZ;2023-12-07 19:00;2023-12-07 19:59;17.96
ZIPAQUIRÁ - EFZ;2023-12-07 18:00;2023-12-07 18:59;12.19
ZIPAQUIRÁ - EFZ;2023-12-07 17:00;2023-12-07 17:59;14.27
ZIPAQUIRÁ - EFZ;2023-12-07 16:00;2023-12-07 16:59;17.65
ZIPAQUIRÁ - EFZ;2023-12-07 15:00;2023-12-07 15:59;18.85
ZIPAQUIRÁ - EFZ;2023-12-07 14:00;2023-12-07 14:59;37.32
ZIPAQUIRÁ - EFZ;2023-12-07 13:00;2023-12-07 13:59;23.88
ZIPAQUIRÁ - EFZ;2023-12-07 12:00;2023-12-07 12:59;32.5
ZIPAQUIRÁ - EFZ;2023-12-07 11:00;2023-12-07 11:59;33.95
ZIPAQUIRÁ - EFZ;2023-12-07 10:00;2023-12-07 10:59;41.22
ZIPAQUIRÁ - EFZ;2023-12-07 09:00;2023-12-07 09:59;78.53
ZIPAQUIRÁ - EFZ;2023-12-07 08:00;2023-12-07 08:59;97.88
ZIPAQUIRÁ - EFZ;2023-12-07 07:00;2023-12-07 07:59;118.73
ZIPAQUIRÁ - EFZ;2023-12-07 06:00;2023-12-07 06:59;82.31
ZIPAQUIRÁ - EFZ;2023-12-07 05:00;2023-12-07 05:59;43.17
ZIPAQUIRÁ - EFZ;2023-12-07 04:00;2023-12-07 04:59;43.43
ZIPAQUIRÁ - EFZ;2023-12-07 03:00;2023-12-07 03:59;44.79
ZIPAQUIRÁ - EFZ;2023-12-07 02:00;2023-12-07 02:59;53.84
ZIPAQUIRÁ - EFZ;2023-12-07 01:00;2023-12-07 01:59;23.43
ZIPAQUIRÁ - EFZ;2023-12-07 00:00;2023-12-07 00:59;31.34
ZIPAQUIRÁ - EFZ;2023-12-06 23:00;2023-12-06 23:59;34.61
ZIPAQUIRÁ - EFZ;2023-12-06 22:00;2023-12-06 22:59;43.04
ZIPAQUIRÁ - EFZ;2023-12-06 21:00;2023-12-06 21:59;40.62
ZIPAQUIRÁ - EFZ;2023-12-06 20:00;2023-12-06 20:59;29.69
ZIPAQUIRÁ - EFZ;2023-12-06 19:00;2023-12-06 19:59;41.52
ZIPAQUIRÁ - EFZ;2023-12-06 18:00;2023-12-06 18:59;85.66
ZIPAQUIRÁ - EFZ;2023-12-06 17:00;2023-12-06 17:59;26.58
ZIPAQUIRÁ - EFZ;2023-12-06 16:00;2023-12-06 16:59;26.35
ZIPAQUIRÁ - EFZ;2023-12-06 15:00;2023-12-06 15:59;27.29
ZIPAQUIRÁ - EFZ;2023-12-06 14:00;2023-12-06 14:59;14.3
ZIPAQUIRÁ - EFZ;2023-12-06 13:00;2023-12-06 13:59;16.37
ZIPAQUIRÁ - EFZ;2023-12-06 12:00;2023-12-06 12:59;35.9
ZIPAQUIRÁ - EFZ;2023-12-06 11:00;2023-12-06 11:59;28.09
ZIPAQUIRÁ - EFZ;2023-12-06 10:00;2023-12-06 10:59;27.6
ZIPAQUIRÁ - EFZ;2023-12-06 09:00;2023-12-06 09:59;68.34
ZIPAQUIRÁ - EFZ;2023-12-06 08:00;2023-12-06 08:59;110.01
ZIPAQUIRÁ - EFZ;2023-12-06 07:00;2023-12-06 07:59;90.99
ZIPAQUIRÁ - EFZ;2023-12-06 06:00;2023-12-06 06:59;79.37
ZIPAQUIRÁ - EFZ;2023-12-06 05:00;2023-12-06 05:59;35.01
ZIPAQUIRÁ - EFZ;2023-12-06 04:00;2023-12-06 04:59;47.69
ZIPAQUIRÁ - EFZ;2023-12-06 03:00;2023-12-06 03:59;49.85
ZIPAQUIRÁ - EFZ;2023-12-06 02:00;2023-12-06 02:59;53.13
ZIPAQUIRÁ - EFZ;2023-12-06 01:00;2023-12-06 01:59;70.75
ZIPAQUIRÁ - EFZ;2023-12-06 00:00;2023-12-06 00:59;44.06
ZIPAQUIRÁ - EFZ;2023-12-05 23:00;2023-12-05 23:59;32.93
ZIPAQUIRÁ - EFZ;2023-12-05 22:00;2023-12-05 22:59;40.03
ZIPAQUIRÁ - EFZ;2023-12-05 21:00;2023-12-05 21:59;23.33
ZIPAQUIRÁ - EFZ;2023-12-05 20:00;2023-12-05 20:59;40.01
ZIPAQUIRÁ - EFZ;2023-12-05 19:00;2023-12-05 19:59;42.7
ZIPAQUIRÁ - EFZ;2023-12-05 18:00;2023-12-05 18:59;31.77
ZIPAQUIRÁ - EFZ;2023-12-05 17:00;2023-12-05 17:59;17.35
ZIPAQUIRÁ - EFZ;2023-12-05 16:00;2023-12-05 16:59;16.92
ZIPAQUIRÁ - EFZ;2023-12-05 15:00;2023-12-05 15:59;45.6
ZIPAQUIRÁ - EFZ;2023-12-05 14:00;2023-12-05 14:59;31.37
ZIPAQUIRÁ - EFZ;2023-12-05 13:00;2023-12-05 13:59;105.91
ZIPAQUIRÁ - EFZ;2023-12-05 12:00;2023-12-05 12:59;117.78
